Name,Team,POS
Kyler Murray,Arizona Cardinals,QB
James Conner,Arizona Cardinals,RB
Marvin Harrison Jr.,Arizona Cardinals,WR
Michael Wilson,Arizona Cardinals,WR
Trey McBride*,Arizona Cardinals,TE
Tip Reiman,Arizona Cardinals,TE
Paris Johnson,Arizona Cardinals,LT
Evan Brown,Arizona Cardinals,LG
Hjalte Froholdt,Arizona Cardinals,C
Trystan Colon-Castillo,Arizona Cardinals,RG
Kelvin Beachum,Arizona Cardinals,RT
L.J. Collier,Arizona Cardinals,LDE
Dante Stills,Arizona Cardinals,DT
Roy Lopez,Arizona Cardinals,NT
Zaven Collins,Arizona Cardinals,LOLB
Mack Wilson,Arizona Cardinals,LILB
Kyzir White,Arizona Cardinals,RILB
Garrett Williams,Arizona Cardinals,LCB
Starling Thomas,Arizona Cardinals,RCB
Jalen Thompson,Arizona Cardinals,SS
Budda Baker*,Arizona Cardinals,FS
Sean Murphy-Bunting,Arizona Cardinals,DB
Kirk Cousins,Atlanta Falcons,QB
Bijan Robinson*,Atlanta Falcons,RB
Drake London,Atlanta Falcons,WR
Ray-Ray McCloud,Atlanta Falcons,WR
Darnell Mooney,Atlanta Falcons,WR
Kyle Pitts,Atlanta Falcons,TE
Jake Matthews,Atlanta Falcons,LT
Matthew Bergeron,Atlanta Falcons,LG
Drew Dalman,Atlanta Falcons,C
Chris Lindstrom*,Atlanta Falcons,RG
Kaleb McGary,Atlanta Falcons,RT
Grady Jarrett,Atlanta Falcons,LDE
Eddie Goldman,Atlanta Falcons,NT
David Onyemata,Atlanta Falcons,RDE
Lorenzo Carter,Atlanta Falcons,LOLB
Kaden Elliss,Atlanta Falcons,RILB
Matt Judon,Atlanta Falcons,ROLB
AJ Terrell,Atlanta Falcons,LCB
Mike Hughes,Atlanta Falcons,RCB
Jessie Bates III,Atlanta Falcons,SS
Justin Simmons,Atlanta Falcons,FS
DeAundre Alford,Atlanta Falcons,DB
Lamar Jackson*+,Baltimore Ravens,QB
Derrick Henry*,Baltimore Ravens,RB
Rashod Bateman,Baltimore Ravens,WR
Zay Flowers*,Baltimore Ravens,WR
Mark Andrews,Baltimore Ravens,TE
Isaiah Likely,Baltimore Ravens,TE
Ronnie Stanley*,Baltimore Ravens,LT
Patrick Mekari,Baltimore Ravens,LG
Tyler Linderbaum*,Baltimore Ravens,C
Daniel Faalele,Baltimore Ravens,RG
Roger Rosengarten,Baltimore Ravens,RT
Nnamdi Madubuike*,Baltimore Ravens,DT
Travis Jones,Baltimore Ravens,NT
Odafe Oweh,Baltimore Ravens,LOLB
Roquan Smith*+,Baltimore Ravens,LILB
Trenton Simpson,Baltimore Ravens,RLB
Kyle Van Noy*,Baltimore Ravens,ROLB
Marlon Humphrey*+,Baltimore Ravens,LCB
Brandon Stephens,Baltimore Ravens,RCB
Kyle Hamilton*,Baltimore Ravens,SS
Marcus Williams,Baltimore Ravens,FS
Nate Wiggins,Baltimore Ravens,DB
Josh Allen*,Buffalo Bills,QB
James Cook*,Buffalo Bills,RB
Keon Coleman,Buffalo Bills,WR
Mack Hollins,Buffalo Bills,WR
Khalil Shakir,Buffalo Bills,WR
Dawson Knox,Buffalo Bills,TE
Dion Dawkins*,Buffalo Bills,LT
David Edwards,Buffalo Bills,LG
Connor McGovern*,Buffalo Bills,C
O'Cyrus Torrence,Buffalo Bills,RG
Spencer Brown,Buffalo Bills,RT
A.J. Epenesa,Buffalo Bills,LDE
Ed Oliver,Buffalo Bills,LDT
DaQuan Jones,Buffalo Bills,RDT
Gregory Rousseau,Buffalo Bills,RDE
Terrel Bernard,Buffalo Bills,MLB
Dorian Williams,Buffalo Bills,RLB
Rasul Douglas,Buffalo Bills,LCB
Christian Benford,Buffalo Bills,RCB
Damar Hamlin,Buffalo Bills,SS
Taylor Rapp,Buffalo Bills,FS
Taron Johnson,Buffalo Bills,DB
Bryce Young,Carolina Panthers,QB
Chuba Hubbard,Carolina Panthers,RB
Xavier Legette,Carolina Panthers,WR
Adam Thielen,Carolina Panthers,WR
Ja'Tavion Sanders,Carolina Panthers,TE
Tommy Tremble,Carolina Panthers,TE
Ikem Ekwonu,Carolina Panthers,LT
Damien Lewis,Carolina Panthers,LG
Cade Mays,Carolina Panthers,C
Robert Hunt*,Carolina Panthers,RG
Taylor Moton,Carolina Panthers,RT
LaBryan Ray,Carolina Panthers,LDE
Shy Tuttle,Carolina Panthers,NT
A'Shawn Robinson,Carolina Panthers,RDE
D.J. Wonnum,Carolina Panthers,LOLB
Trevin Wallace,Carolina Panthers,LILB
Josey Jewell,Carolina Panthers,RILB
Jadeveon Clowney,Carolina Panthers,ROLB
Jaycee Horn*,Carolina Panthers,LCB
Michael Jackson,Carolina Panthers,RCB
Jordan Fuller,Carolina Panthers,SS
Xavier Woods,Carolina Panthers,FS
Caleb Williams,Chicago Bears,QB
D'Andre Swift,Chicago Bears,RB
Keenan Allen,Chicago Bears,WR
D.J. Moore,Chicago Bears,WR
Rome Odunze,Chicago Bears,WR
Cole Kmet,Chicago Bears,TE
Teven Jenkins,Chicago Bears,LT
Braxton Jones,Chicago Bears,LT
Coleman Shelton,Chicago Bears,C
Matt Pryor,Chicago Bears,RG
Darnell Wright,Chicago Bears,RT
Montez Sweat,Chicago Bears,LDE
Andrew Billings,Chicago Bears,LDT
Gervon Dexter,Chicago Bears,RDT
DeMarcus Walker,Chicago Bears,RDE
T.J. Edwards,Chicago Bears,LLB
Tremaine Edmunds,Chicago Bears,MLB
Tyrique Stevenson,Chicago Bears,LCB
Jaylon Johnson*,Chicago Bears,RCB
Kevin Byard,Chicago Bears,SS
Elijah Hicks,Chicago Bears,FS
Kyler Gordon,Chicago Bears,DB
Joe Burrow*,Cincinnati Bengals,QB
Chase Brown,Cincinnati Bengals,RB
Ja'Marr Chase*+,Cincinnati Bengals,WR
Tee Higgins,Cincinnati Bengals,WR
Cam Grandy,Cincinnati Bengals,TE
Drew Sample,Cincinnati Bengals,TE
Orlando Brown Jr.,Cincinnati Bengals,LT
Cordell Volson,Cincinnati Bengals,LG
Ted Karras,Cincinnati Bengals,C
Alex Cappa,Cincinnati Bengals,RG
Amarius Mims,Cincinnati Bengals,RT
Sam Hubbard,Cincinnati Bengals,LDE
Kris Jenkins,Cincinnati Bengals,LDT
B.J. Hill,Cincinnati Bengals,RDT
Trey Hendrickson*+,Cincinnati Bengals,RDE
Logan Wilson,Cincinnati Bengals,LLB
Germaine Pratt,Cincinnati Bengals,MLB
Akeem Davis-Gaither,Cincinnati Bengals,RLB
Cam Taylor-Britt,Cincinnati Bengals,LCB
Josh Newton,Cincinnati Bengals,RCB
Geno Stone,Cincinnati Bengals,SS
Vonn Bell,Cincinnati Bengals,FS
Jameis Winston,Cleveland Browns,QB
Nick Chubb,Cleveland Browns,RB
Jerry Jeudy*,Cleveland Browns,WR
Elijah Moore,Cleveland Browns,WR
Jordan Akins,Cleveland Browns,TE
David Njoku,Cleveland Browns,TE
Germain Ifedi,Cleveland Browns,LT
Joel Bitonio*,Cleveland Browns,LG
Ethan Pocic,Cleveland Browns,C
Wyatt Teller,Cleveland Browns,RG
Jack Conklin,Cleveland Browns,RT
Za'Darius Smith,Cleveland Browns,LDE
Dalvin Tomlinson,Cleveland Browns,LDT
Shelby Harris,Cleveland Browns,RDT
Myles Garrett*+,Cleveland Browns,RDE
Devin Bush Jr.,Cleveland Browns,LLB
Jeremiah Owusu-Koramoah,Cleveland Browns,MLB
Mohamoud Diabate,Cleveland Browns,RLB
Denzel Ward*,Cleveland Browns,LCB
Martin Emerson,Cleveland Browns,RCB
Grant Delpit,Cleveland Browns,SS
Juan Thornhill,Cleveland Browns,FS
Dak Prescott,Dallas Cowboys,QB
Rico Dowdle,Dallas Cowboys,RB
Brandin Cooks,Dallas Cowboys,WR
CeeDee Lamb*,Dallas Cowboys,WR
Jalen Tolbert,Dallas Cowboys,WR
Jake Ferguson,Dallas Cowboys,TE
Tyler Guyton,Dallas Cowboys,LT
Tyler Smith*,Dallas Cowboys,LG
Cooper Beebe,Dallas Cowboys,C
Zack Martin,Dallas Cowboys,RG
Terence Steele,Dallas Cowboys,RT
Osa Odighizuwa,Dallas Cowboys,LDT
Mazi Smith,Dallas Cowboys,RDT
Chauncey Golston,Dallas Cowboys,RDE
Micah Parsons*,Dallas Cowboys,LLB
Eric Kendricks,Dallas Cowboys,MLB
DeMarvion Overshown,Dallas Cowboys,RLB
Jourdan Lewis,Dallas Cowboys,LCB
Trevon Diggs,Dallas Cowboys,RCB
Malik Hooker,Dallas Cowboys,SS
Donovan Wilson,Dallas Cowboys,FS
DaRon Bland,Dallas Cowboys,DB
Bo Nix,Denver Broncos,QB
Javonte Williams,Denver Broncos,RB
Lil'Jordan Humphrey,Denver Broncos,WR
Courtland Sutton,Denver Broncos,WR
Nate Adkins,Denver Broncos,TE
Adam Trautman,Denver Broncos,TE
Garett Bolles,Denver Broncos,LT
Ben Powers,Denver Broncos,LG
Luke Wattenberg,Denver Broncos,C
Quinn Meinerz+,Denver Broncos,RG
Mike McGlinchey,Denver Broncos,RT
Zach Allen,Denver Broncos,LDT
D.J. Jones,Denver Broncos,NT
John Franklin-Myers,Denver Broncos,RDE
Jonathon Cooper,Denver Broncos,LOLB
Cody Barton,Denver Broncos,LILB
Justin Strnad,Denver Broncos,RILB
Nik Bonitto*,Denver Broncos,ROLB
Patrick Surtain II*+,Denver Broncos,LCB
Riley Moss,Denver Broncos,RCB
P.J. Locke,Denver Broncos,SS
Brandon Jones,Denver Broncos,FS
Jared Goff*,Detroit Lions,QB
David Montgomery,Detroit Lions,RB
Amon-Ra St. Brown*+,Detroit Lions,WR
Jameson Williams,Detroit Lions,WR
Sam LaPorta,Detroit Lions,TE
Brock Wright,Detroit Lions,TE
Taylor Decker*,Detroit Lions,LT
Graham Glasgow,Detroit Lions,LG
Frank Ragnow*,Detroit Lions,C
Kevin Zeitler,Detroit Lions,RG
Penei Sewell*+,Detroit Lions,RT
Josh Paschal,Detroit Lions,LDE
D.J. Reader,Detroit Lions,LDT
Alim McNeill,Detroit Lions,RDT
Za'Darius Smith,Detroit Lions,RDE
Alex Anzalone,Detroit Lions,LLB
Jack Campbell,Detroit Lions,MLB
Malcolm Rodriguez,Detroit Lions,RLB
Carlton Davis,Detroit Lions,LCB
Terrion Arnold,Detroit Lions,RCB
Brian Branch*,Detroit Lions,SS
Kerby Joseph+,Detroit Lions,FS
Jordan Love,Green Bay Packers,QB
Josh Jacobs*,Green Bay Packers,RB
Romeo Doubs,Green Bay Packers,WR
Christian Watson,Green Bay Packers,WR
Dontayvion Wicks,Green Bay Packers,WR
Tucker Kraft,Green Bay Packers,TE
Rasheed Walker,Green Bay Packers,LT
Elgton Jenkins,Green Bay Packers,LG
Josh Myers,Green Bay Packers,C
Sean Rhyan,Green Bay Packers,RG
Zach Tom,Green Bay Packers,RT
Preston Smith,Green Bay Packers,LDE
Tedarrell Slaton,Green Bay Packers,LDT
Kenny Clark,Green Bay Packers,RDT
Rashan Gary*,Green Bay Packers,RDE
Quay Walker,Green Bay Packers,LLB
Eric Wilson,Green Bay Packers,MLB
Isaiah McDuffie,Green Bay Packers,RLB
Keisean Nixon,Green Bay Packers,LCB
Eric Stokes,Green Bay Packers,RCB
Javon Bullard,Green Bay Packers,SS
Xavier McKinney*+,Green Bay Packers,FS
C.J. Stroud,Houston Texans,QB
Joe Mixon*,Houston Texans,RB
Nico Collins*,Houston Texans,WR
Tank Dell,Houston Texans,WR
Dalton Schultz,Houston Texans,TE
Cade Stover,Houston Texans,TE
Laremy Tunsil*,Houston Texans,LT
Kenyon Green,Houston Texans,LG
Jarrett Patterson,Houston Texans,C
Shaq Mason,Houston Texans,RG
Tytus Howard,Houston Texans,RT
Will Anderson,Houston Texans,LDE
Folorunso Fatukasi,Houston Texans,LDT
Tim Settle,Houston Texans,RDT
Danielle Hunter*,Houston Texans,RDE
Henry To'oTo'o,Houston Texans,LLB
Azeez Al-Shaair,Houston Texans,MLB
Derek Stingley Jr.*+,Houston Texans,LCB
Kamari Lassiter,Houston Texans,RCB
Eric Murray,Houston Texans,SS
Calen Bullock,Houston Texans,FS
Jalen Pitre,Houston Texans,DB
Anthony Richardson,Indianapolis Colts,QB
Jonathan Taylor*,Indianapolis Colts,RB
Adonai Mitchell,Indianapolis Colts,WR
Alec Pierce,Indianapolis Colts,WR
Michael Pittman Jr.,Indianapolis Colts,WR
Mo Alie-Cox,Indianapolis Colts,TE
Bernhard Raimann,Indianapolis Colts,LT
Quenton Nelson*,Indianapolis Colts,LG
Ryan Kelly,Indianapolis Colts,C
Dalton Tucker,Indianapolis Colts,RG
Braden Smith,Indianapolis Colts,RT
Kwity Paye,Indianapolis Colts,LDE
DeForest Buckner,Indianapolis Colts,DT
Grover Stewart,Indianapolis Colts,NT
Dayo Odeyingbo,Indianapolis Colts,RDE
Zaire Franklin*,Indianapolis Colts,LLB
E.J. Speed,Indianapolis Colts,MLB
Jaylon Jones,Indianapolis Colts,LCB
Kenny Moore,Indianapolis Colts,RCB
Nick Cross,Indianapolis Colts,SS
Julian Blackmon,Indianapolis Colts,FS
Samuel Womack,Indianapolis Colts,DB
Trevor Lawrence,Jacksonville Jaguars,QB
Travis Etienne,Jacksonville Jaguars,RB
Gabriel Davis,Jacksonville Jaguars,WR
Brian Thomas*,Jacksonville Jaguars,WR
Evan Engram,Jacksonville Jaguars,TE
Brenton Strange,Jacksonville Jaguars,TE
Walker Little,Jacksonville Jaguars,LT
Ezra Cleveland,Jacksonville Jaguars,LG
Mitch Morse,Jacksonville Jaguars,C
Brandon Scherff,Jacksonville Jaguars,RG
Anton Harrison,Jacksonville Jaguars,RT
Josh Hines-Allen,Jacksonville Jaguars,LDE
Tyler Lacy,Jacksonville Jaguars,LDT
DaVon Hamilton,Jacksonville Jaguars,RDT
Travon Walker,Jacksonville Jaguars,RDE
Ventrell Miller,Jacksonville Jaguars,LLB
Foyesade Oluokun,Jacksonville Jaguars,MLB
Devin Lloyd,Jacksonville Jaguars,RLB
Ronald Darby,Jacksonville Jaguars,LCB
Tyson Campbell,Jacksonville Jaguars,RCB
Andre Cisco,Jacksonville Jaguars,SS
Darnell Savage Jr.,Jacksonville Jaguars,FS
Patrick Mahomes,Kansas City Chiefs,QB
Kareem Hunt,Kansas City Chiefs,RB
Justin Watson,Kansas City Chiefs,WR
Xavier Worthy,Kansas City Chiefs,WR
Noah Gray,Kansas City Chiefs,TE
Travis Kelce*,Kansas City Chiefs,TE
Wanya Morris,Kansas City Chiefs,LT
Joe Thuney*+,Kansas City Chiefs,LG
Creed Humphrey*+,Kansas City Chiefs,C
Trey Smith*,Kansas City Chiefs,RG
Jawaan Taylor,Kansas City Chiefs,RT
George Karlaftis III,Kansas City Chiefs,LDE
Chris Jones*+,Kansas City Chiefs,LDT
Tershawn Wharton,Kansas City Chiefs,RDT
Michael Danna,Kansas City Chiefs,RDE
Nick Bolton,Kansas City Chiefs,LLB
Drue Tranquill,Kansas City Chiefs,MLB
Leo Chenal,Kansas City Chiefs,RLB
Trent McDuffie,Kansas City Chiefs,LCB
Jaylen Watson,Kansas City Chiefs,RCB
Justin Reid,Kansas City Chiefs,SS
Bryan Cook,Kansas City Chiefs,FS
Gardner Minshew II,Las Vegas Raiders,QB
Alexander Mattison,Las Vegas Raiders,RB
Jakobi Meyers,Las Vegas Raiders,WR
Tre Tucker,Las Vegas Raiders,WR
Brock Bowers*+,Las Vegas Raiders,TE
Michael Mayer,Las Vegas Raiders,TE
Kolton Miller,Las Vegas Raiders,LT
Jackson Powers-Johnson,Las Vegas Raiders,LG
Andre James,Las Vegas Raiders,C
